DateTime,Market1: Close,Market1: High,Market1: Low,Market1: Open,Market2: Close,Market2: High,Market2: Low,Market2: Open,Market2: Open_Interest,Market2: Volume,Market3: Close,Market3: High,Market3: Low,Market3: Open,Market3: Open_Interest,Market3: Volume,Market1: Direction,Market2: Direction,Market3: Direction
2017-04-17,259.6,261.15,255.65,256.55,5746.909939661077,5782.451797333867,5662.4469443959915,5681.580930911586,337873.1851533264,46509.82934014482,46610.0,47940.0,45960.0,46150.0,581004.0,450362.0,1,1,1
2017-04-18,252.9,259.6,251.55,259.6,5572.0,5739.5,5568.5,5725.5,334025.0,52608.0,46360.0,47010.0,45860.0,46750.0,597568.0,55444.0,0,0,0
2017-04-19,253.45,256.35,249.4,252.8,5556.0,5675.5,5530.0,5596.0,329698.0,68273.0,45750.0,46180.0,45200.0,45920.0,600810.0,86176.0,1,0,0
2017-04-20,254.2,255.4,250.4,252.9,5623.0,5658.0,5555.5,5591.0,328681.0,42343.0,45450.0,46200.0,44860.0,45850.0,604058.0,102750.0,1,1,0
2017-04-21,253.75,256.6,252.45,254.4,5623.0,5686.5,5598.5,5643.0,324858.0,33194.0,45850.0,46160.0,45540.0,45750.0,596336.0,81842.0,0,0,1
2017-04-24,255.25,257.2,253.5,254.6,5655.0,5686.5,5613.0,5672.0,326444.0,27487.0,45820.0,46080.0,45520.0,45910.0,587702.0,90504.0,1,0,0
2017-04-25,257.85,259.3,254.55,255.45,5706.0,5722.0,5634.5,5653.0,325517.0,27190.0,45970.0,46380.0,45610.0,45810.0,581056.0,92054.0,1,1,1
2017-04-26,258.85,259.7,257.2,258.65,5715.0,5738.0,5693.5,5702.5,324680.0,33917.0,46320.0,46550.0,45950.0,46250.0,573782.0,91370.0,1,1,1
2017-04-27,258.0,259.05,255.35,259.05,5692.0,5728.0,5656.0,5720.0,323003.0,42256.0,46390.0,46590.0,46260.0,46400.0,565644.0,73708.0,0,0,0
2017-04-28,259.65,260.15,257.75,258.35,5735.5,5750.0,5700.0,5714.5,325306.0,41572.0,46320.0,46510.0,45920.0,46390.0,568234.0,126548.0,1,1,0
2017-05-01,265.0,268.0,258.55,258.75,5866.4527504244425,5934.126294028246,5726.679669366648,5730.302342129693,325340.8231648624,39381.15569508751,45644.9757930704,46080.95432808484,44647.026281616214,44572.90932904884,568328.6440018559,118829.46486220777,1,1,1
2017-05-02,262.5,265.05,261.55,265.05,5802.0,5820.0,5761.5,5800.5,331180.0,53790.0,46910.0,47120.0,46740.0,47000.0,561120.0,74258.0,0,1,0
2017-05-03,253.3,261.75,250.6,261.75,5600.0,5792.0,5591.5,5790.0,336482.0,69003.0,46740.0,46990.0,46550.0,46910.0,560838.0,60298.0,0,0,0
2017-05-04,250.2,252.7,248.0,251.2,5543.0,5614.0,5494.0,5580.0,338296.0,76091.0,45580.0,46040.0,45040.0,45950.0,568508.0,190070.0,0,0,0
2017-05-05,251.95,252.7,249.55,250.15,5585.0,5591.0,5524.0,5545.5,335373.0,45423.0,45050.0,45310.0,44730.0,45080.0,595596.0,171390.0,1,1,0
2017-05-08,248.55,253.5,247.0,253.5,5486.0,5609.0,5462.5,5607.0,333088.0,38961.0,45050.0,45570.0,44650.0,45010.0,607730.0,226734.0,0,0,1
2017-05-09,249.0,250.2,248.0,248.25,5512.0,5554.0,5477.0,5499.0,333611.0,30869.0,44700.0,44890.0,44420.0,44620.0,601916.0,179390.0,1,1,1
2017-05-10,248.7,250.0,248.4,249.3,5500.5,5540.0,5481.5,5507.5,333945.0,26121.0,44950.0,45240.0,44730.0,44840.0,597612.0,184178.0,0,0,1
2017-05-11,250.1,253.4,249.25,249.25,5543.0,5627.5,5491.5,5509.5,333921.0,15612.0,44940.0,45330.0,44660.0,44980.0,594338.0,259366.0,1,1,0
2017-05-12,251.8,252.05,250.5,250.8,5559.5,5575.0,5529.0,5541.5,331096.0,10481.0,45030.0,45580.0,44830.0,45510.0,608270.0,265148.0,1,1,0
2017-05-15,253.3,254.7,253.15,253.35,5613.0,5637.0,5560.5,5560.5,331375.0,61968.0,45200.0,45560.0,44900.0,45080.0,602660.0,204988.0,0,1,1
2017-05-16,254.45,254.65,251.55,252.1,5611.0,5625.0,5563.0,5597.0,318226.0,11811.0,45320.0,45640.0,45110.0,45590.0,595384.0,33172.0,1,1,0
2017-05-17,254.25,254.4,252.75,253.55,5610.0,5640.0,5573.0,5606.0,320350.0,15273.0,45460.0,45690.0,45310.0,45310.0,583120.0,39606.0,1,1,1
2017-05-18,252.65,253.1,248.8,252.0,5580.0,5600.0,5485.0,5599.0,316393.0,22826.0,45160.0,45540.0,44990.0,45320.0,599758.0,46830.0,1,0,0
2017-05-19,257.4,257.65,254.35,254.35,5682.0,5694.5,5575.5,5589.0,313462.0,20216.0,45160.0,45460.0,44690.0,44790.0,584052.0,53258.0,1,1,1
2017-05-22,258.9,259.5,256.35,256.5,5703.0,5720.0,5654.0,5680.5,315800.0,35975.0,45860.0,46090.0,45540.0,45600.0,569080.0,64606.0,1,1,1
2017-05-23,259.05,259.0,257.55,257.6,5714.0,5724.5,5666.0,5715.5,321409.0,13299.0,45990.0,46180.0,45830.0,46030.0,568678.0,48382.0,1,0,0
2017-05-24,257.8,258.4,256.7,258.4,5682.0,5713.0,5635.5,5712.0,323092.0,41924.0,45890.0,46210.0,45560.0,45940.0,581566.0,84274.0,0,0,0
2017-05-25,259.2,261.0,257.65,257.65,5724.0,5768.5,5672.0,5685.5,326195.0,42425.0,45950.0,46110.0,45760.0,45920.0,581496.0,71016.0,1,1,1
